stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
soils.spaceship.doctor,Seeta High School,,0.37046,32.72013,,,
mountain.permit.stung,Century Bottling Co.,,0.35866,32.68908,,,
monuments.entire.predicted,Mukono Taxi Park,,0.35871,32.75039,,,
clutches.bogus.tolerates,Igar Petrol Station,,0.36918,32.7374,,,
relaxed.blend.vibrating,Mattrix Gardens,,0.37216,32.73409,,,
firelight.briefer.jelly,Nwsc Seeta Branch,,0.36986,32.71572,,,
ordeals.heave.pulp,St. Peter Junior Academy,,0.3677,32.71075,,,
warnings.wired.science,Ministry of Water And Environment,,0.2985,32.64921,,,
emperor.forwarded.spud,Harryz Supermarket,,0.30312,32.65176,,,
stunning.recount.bitter,Total Fuel Station Bweyogerere,,0.35263,32.66095,,,
accompany.fish.doctors,Thimb Technical Centre,,0.35683,32.66453,,,
stilted.shoving.repair,Nkambo Health Centre,,0.3188,32.64871,,,
coaster.always.unimpeded,Medical And Counseling Centre,,0.32176,32.64374,,,
foil.lawns.dirt,Luzira Stage,,0.30088,32.64829,,,
discussed.class.admiringly,Nile Breweries Depot,,0.29609,32.64988,,,
appointed.rashers.ironic,Bweyogerere,,0.35268,32.66263,,,
worldwide.lectured.thus,Bweyogerere,,0.35217,32.66293,,,
daydream.dame.scout,Bukasa High School,,0.31701,32.6737,,,
clattered.torched.journey,Verizon Electronics - Kirenya Bukasa Rd,,0.31196,32.67306,,,
automatic.plants.tricycle,Kavule Taxi Stage,,0.34552,32.66063,,,
nudge.multiple.talents,Hotel Mamerto,,0.35182,32.65732,,,
loved.winemaker.fracture,Gto Petro Pump - Watoto Church East,,0.35385,32.6725,,,
pigs.animator.acted,Shire Petroleum,,0.35321,32.6689,,,
iterative.clap.postings,Oryx Fuel Stations (Mutungo Tank Rd),,0.30864,32.6396,,,
appraised.radar.nozzle,Kireka Rd - Kyalema Rd Jct,,0.32258,32.63648,,,
waffle.commander.headstone,Total (Luzira),,0.30385,32.64417,,,
mastering.cools.claw,Uganda Breweries Limited,,0.29328,32.65235,,,
unionists.hurt.insulated,Phidam House,,0.30682,32.64159,,,
trespass.risking.carbonate,Declouds,,0.3114,32.63712,,,
hobbies.bandstand.ants,Kunya Pharmacy,,0.32185,32.64107,,,
nitrate.prominent.products,Mbuya Parents Academy,,0.31974,32.63364,,,
parkway.surpasses.juices,Portbell Taxi Stage,,0.29246,32.65367,,,
wasps.walled.goes,Kirinya Police Station - Kirenya Bukasa Rd,,0.33784,32.66638,,,
ferried.shining.gaps,Oxford Internet Cafe,,0.30739,32.65556,,,
frown.chapels.concluded,Kirombe Taxi Stage,,0.30639,32.65386,,,
inversely.ambitions.relaxed,Medipoint Industries,,0.29719,32.64951,,,
