trip_id,service_id,route_id,shape_id,direction_id,trip_headsign
402,Mo-Su,10647737,10647736,0,Marché de Port-Bouët
403,Mo-Su,10647737,10647735,1,Anani
404,Mo-Su,10651885,10651884,0,BC
405,Mo-Su,10651885,10651883,1,Abobo Gare
406,Mo-Su,10651976,10651975,0,Ndotre
407,Mo-Su,10651976,10651974,1,Abobo Gendarmerie
408,Mo-Su,10653426,10653425,0,Biabou
409,Mo-Su,10653426,10653424,1,Abobo Gare
410,Mo-Su,10653562,10653561,0,Houphouet-Boigny
411,Mo-Su,10653562,10653560,1,Abobo Gare
412,Mo-Su,10653808,10653807,0,Angre Petro Ivoire
413,Mo-Su,10653808,10653806,1,Abobo Gare
414,Mo-Su,10653984,10653983,0,Mahou/Azur
415,Mo-Su,10653984,10653982,1,palmeraie
416,Mo-Su,10669276,10669275,0,Terminus 81-82
417,Mo-Su,10669276,10669274,1,Palmeraie
418,Mo-Su,10670070,10670069,0,Port de Pêche
419,Mo-Su,10670070,10670068,1,Marché de Port-Bouët
420,Mo-Su,10670151,10670149,0,Carrefour Aéroport
421,Mo-Su,10670151,10670150,1,Aéroport
422,Mo-Su,10672696,10672695,0,Terminus 05
423,Mo-Su,10672696,10672694,1,Koumassi grand marché
424,Mo-Su,10676982,10676980,0,Koumassi grand marché
425,Mo-Su,10676982,10676981,1,Ancien Koumassi
426,Mo-Su,10677072,10677070,0,Anoumabo sans fil
427,Mo-Su,10677072,10677071,1,Koumassi grand marché
428,Mo-Su,10677135,10677133,0,Koumassi grand marché
429,Mo-Su,10677135,10677134,1,Koumassi campement
430,Mo-Su,10677516,10677515,0,Soweto
431,Mo-Su,10677516,10677514,1,Koumassi grand marché
432,Mo-Su,10677691,10677689,0,Anoumabo sans fil
433,Mo-Su,10677691,10677690,1,Koumassi Hôpital général
434,Mo-Su,11527162,11527161,0,Soweto
435,Mo-Su,11527162,11527160,1,Gare communale
436,Mo-Su,11527427,11527426,0,Sicogi
437,Mo-Su,11527427,11527425,1,Gare communale
438,Mo-Su,11529097,11529095,0,Terminus 32
439,Mo-Su,11529097,11529096,1,Sicogi
440,Mo-Su,11529225,11529224,0,Sicogi
441,Mo-Su,11529225,11529223,1,Anoumabo sans fil
442,Mo-Su,11529405,11529404,0,Soweto
443,Mo-Su,11529405,11529403,1,Sicogi
444,Mo-Su,11529699,11529698,0,Akouédo
445,Mo-Su,11529699,11529697,1,9 kilo
446,Mo-Su,11531745,11531744,0,Ciad Eden
447,Mo-Su,11531745,11531743,1,9 kilo
448,Mo-Su,11531813,11531812,0,Sol Beni au bateau
449,Mo-Su,11531813,11531811,1,9 kilo
450,Mo-Su,11531971,11531969,0,Gare Bonoumin
451,Mo-Su,11531971,11531970,1,Abri 2000
452,Mo-Su,11532200,11532198,0,Station après barage
453,Mo-Su,11532200,11532199,1,CHU Angré
454,Mo-Su,11532307,11532305,0,Station après barage
455,Mo-Su,11532307,11532306,1,Rosier Programme 6
456,Mo-Su,11532430,11532428,0,Station après barage
457,Mo-Su,11532430,11532429,1,Petro ivoire
458,Mo-Su,11532537,11532535,0,Rivera 2
459,Mo-Su,11532537,11532536,1,Anono
460,Mo-Su,11535716,11535714,0,Treichville Rue 12
461,Mo-Su,11535716,11535715,1,Anoumabo sans fil
462,Mo-Su,11538371,11538370,0,Maison Blanche
463,Mo-Su,11538371,11538369,1,Carrefour Lycée
464,Mo-Su,11538539,11538538,0,Maison Blanche
465,Mo-Su,11538539,11538537,1,Gare Sotra Marcory
466,Mo-Su,11538775,11538774,0,CTAO
467,Mo-Su,11538775,11569013,1,Carrefour Lycée
468,Mo-Su,11539470,11539469,0,CTAO
469,Mo-Su,11539470,11539468,1,Gare Sotra Marcory
470,Mo-Su,11539584,11539583,0,Mairie de Marcory
471,Mo-Su,11539584,11539582,1,Hibiscus
