route_id,agency_id,route_short_name,route_long_name,route_type
260,3,TX288,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በለገሀር - መስቀል አደባባይ,3
261,3,TX289,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በደንበል - ወሎ ሰፈር አደባባይ ሳይዞር,3
273,3,TX314,አውቶቢስ ተራ (መነኻሪያ ፊት ለፊት) - በአ/ሚካኤል - አንበሳ ጋራጅ /ሾጎሌ/ መ.7,3
262,3,TX290,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በቦሌ ድልድይ - ቦሌ ኤርፖርት,3
263,3,TX296,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በጥቁር አንበሳ   - ቦሌ ሚካኤል,3
264,3,TX299,አውቶቡስ ተራ (ቴሌ ፊት ለፊት) - በጎተራ - ሳሪስ ሽዋ ዳቦ,3
265,3,TX300,አውቶቡስ ተራ (ዜድ ሙዚቃ ቤት) - በአብነት - ሕንፃ ኮለጅ,3
267,3,TX306,አውቶቡስተራ (ዜድ ሙዚቃ ቤት) - በካርል አደባባይ - ደንቦስኮ ካቴድራል ት/ቤት,3
283,3,TX331,አያት አደባባይ   - ንቡ ሚካኤል - ሰፈራ አደባባይ,3
268,3,TX307,አውቶቡስተራ (ዜድ ሙዚቃ ቤት) - በጀሞ አደባባይ - ኬንቴሪ,3
269,3,TX308,አውቶቡስተራ (ዜድ ሙዚቃ ቤት) - በፍርድ ቤት አደባባይ ተሻግሮ - ጀሞ,3
291,3,TX341,አጎኖ ሲኒማ  -  አጎኖ ሲኒማ - ደንበል,3
270,3,TX309,አውቶቡስተራ (ዜድ ሙዚቃ ቤት) - በጦር ኃይሎች ማዞሪያ - ዓለም ባንክ,3
323,3,TX398,ጀሞ መንደር - ጎፋ ን/ባንክ - ጎፋ ገብርኤል,3
271,3,TX312,አውቶቢስ ተራ - ቄራ መስኪድ - ሳሪስ ሸዋ ዳቦ,3
299,3,TX352,እስቴዲየም - ወሎ ሰፋር - ቦሌ ድልድይ ,3
272,3,TX313,አውቶቢስ ተራ - ቆሬ አደባባይ - ጀሞ ሚካኤል,3
300,3,TX353,እስቴዲየም - ሃዊ ሆቴል - ቄራ,3
274,3,TX315,አውቶቢስ ተራ (መነኻሪያ ፊት ለፊት) - በአ/ሚካኤል - መ/ት/ቤት በታችኛው በር ላይ,3
275,3,TX321,አውቶብስ ተራ (አየለ ሆቴል) - በመሳለሚያ - 18 ማዞሪያ,3
276,3,TX322,አውቶብስ ተራ (አየለ ሆቴል) - በልኳንዳ - አቡነ ተ/ሃይማኖት ቤተክርስቲያን,3
